"Product ID";Image;Nom;Référence;Catégorie;"Montant HT";"Montant TTC";Quantité;État;Position
28427;https://diesel-injecteurs.com/19376/joint-torique.jpg;"joint torique";g123;Accueil;0.833333;1;-4;1
28426;https://diesel-injecteurs.com//consigne-char.jpg;"consigne char";;Accueil;0.000000;0;0;1
28425;https://diesel-injecteurs.com/19377/consigne-turbo.jpg;"consigne turbo";;Accueil;0.000000;0;0;1
28423;https://diesel-injecteurs.com/19374/injecteur-volkswagen-touareg-ii-30-tdi-v6-24v-fap-blue-motion-tiptronic-204300-cv-boite-auto-.jpg;"Injecteur 0445117026  VOLKSWAGEN Touareg II 3.0 TDi V6 24V FAP blue motion Tiptronic 204///300 cv Boîte auto";0445117026;Injecteurs;145.000000;174;0;1
28422;https://diesel-injecteurs.com/19373/injecteur-volkswagen-touareg-ii-30-tdi-v6-24v-fap-blue-motion-tiptronic-204300-cv-boite-auto-.jpg;"Injecteur VOLKSWAGEN Touareg II 3.0 TDi V6 24V FAP blue motion Tiptronic 204///300 cv Boîte auto";0445117026;Accueil;145.000000;174;10;0
28418;https://diesel-injecteurs.com/19174/turbo-audi-a3-q3-golf-7-sharan-tiguan-touran-leon-20-tdi-136-150-cv-04l253010q-04l253010t-vag.jpg;"Turbo Audi A3 Q3 Golf 7 Sharan Tiguan Touran Leon 2.0 Tdi 136-150 cv 04L253010Q-04L253010T VAG";03l253019L;Accueil;304.166667;365;3;0
28403;https://diesel-injecteurs.com/18013/injecteur-a3-a4-a5-a6-ateca-leon-octavia-golf-passat-16-20-tdi-75-184-cv-0445110469-bosch-.jpg;"copy of Injecteur A3 A4 A5 A6 Ateca Leon Octavia Golf Passat 1.6, 2.0 Tdi 75-184 cv 0445110469 Bosch";0445110369;Accueil;135.000000;135;0;1
28402;https://diesel-injecteurs.com/18010/injecteur-a3-a4-a5-a6-ateca-leon-octavia-golf-passat-16-20-tdi-75-184-cv-0445110469-bosch-.jpg;"Injecteur A3 A4 A5 A6 Ateca Leon Octavia Golf Passat 1.6, 2.0 Tdi 75-184 cv 0445110469 Bosch";0445110369;Accueil;135.000000;135;12;0
28401;https://diesel-injecteurs.com/17795/injecteur-denso-6c1q9k546ac-1980j7-6c1q-9k546-ac.jpg;"copy of INJECTEUR DENSO 6C1Q9K546AC 1980J7 6C1Q-9K546-AC";6c1q-9k546-ac;Accueil;129.000000;129;-1;1
28400;https://diesel-injecteurs.com/17794/injecteur-denso-6c1q9k546ac-1980j7-6c1q-9k546-ac.jpg;"copy of INJECTEUR DENSO 6C1Q9K546AC 1980J7 6C1Q-9K546-AC";6c1q-9k546-ac;Accueil;129.000000;129;0;1
